Reference,Distorted,Metric,Metric_val,Mask,Subjective
BigBuckBunny_25fps.yuv,BigBuckBunny_20_288_375.yuv,ssim,0.7501,False,20
BigBuckBunny_25fps.yuv,BigBuckBunny_30_384_550.yuv,ssim,0.7975,False,30
BigBuckBunny_25fps.yuv,BigBuckBunny_40_384_750.yuv,ssim,0.81,False,40
BigBuckBunny_25fps.yuv,BigBuckBunny_50_480_1050.yuv,ssim,0.8534,False,50
BigBuckBunny_25fps.yuv,BigBuckBunny_55_480_1750.yuv,ssim,0.8695,False,55
BigBuckBunny_25fps.yuv,BigBuckBunny_75_720_3050.yuv,ssim,0.9288,False,75
BigBuckBunny_25fps.yuv,BigBuckBunny_80_720_4250.yuv,ssim,0.9361,False,80
BigBuckBunny_25fps.yuv,BigBuckBunny_85_1080_3800.yuv,ssim,0.9653,False,85
BigBuckBunny_25fps.yuv,BigBuckBunny_90_1080_4300.yuv,ssim,0.9695,False,90
BigBuckBunny_25fps.yuv,BigBuckBunny_95_1080_5800.yuv,ssim,0.9776,False,95
BigBuckBunny_25fps.yuv,BigBuckBunny_20_288_375.yuv,psnr,27.853,False,20
BigBuckBunny_25fps.yuv,BigBuckBunny_30_384_550.yuv,psnr,28.907,False,30
BigBuckBunny_25fps.yuv,BigBuckBunny_40_384_750.yuv,psnr,29.185,False,40
BigBuckBunny_25fps.yuv,BigBuckBunny_50_480_1050.yuv,psnr,30.364,False,50
BigBuckBunny_25fps.yuv,BigBuckBunny_55_480_1750.yuv,psnr,30.774,False,55
BigBuckBunny_25fps.yuv,BigBuckBunny_75_720_3050.yuv,psnr,33.472,False,75
BigBuckBunny_25fps.yuv,BigBuckBunny_80_720_4250.yuv,psnr,33.766,False,80
BigBuckBunny_25fps.yuv,BigBuckBunny_85_1080_3800.yuv,psnr,38.913,False,85
BigBuckBunny_25fps.yuv,BigBuckBunny_90_1080_4300.yuv,psnr,39.579,False,90
BigBuckBunny_25fps.yuv,BigBuckBunny_95_1080_5800.yuv,psnr,41.162,False,95
BigBuckBunny_25fps.yuv,BigBuckBunny_20_288_375.yuv,vmaf,26.628,False,20
BigBuckBunny_25fps.yuv,BigBuckBunny_30_384_550.yuv,vmaf,41.856,False,30
BigBuckBunny_25fps.yuv,BigBuckBunny_40_384_750.yuv,vmaf,46.096,False,40
BigBuckBunny_25fps.yuv,BigBuckBunny_50_480_1050.yuv,vmaf,59.971,False,50
BigBuckBunny_25fps.yuv,BigBuckBunny_55_480_1750.yuv,vmaf,65.092,False,55
BigBuckBunny_25fps.yuv,BigBuckBunny_75_720_3050.yuv,vmaf,82.173,False,75
BigBuckBunny_25fps.yuv,BigBuckBunny_80_720_4250.yuv,vmaf,84.052,False,80
BigBuckBunny_25fps.yuv,BigBuckBunny_85_1080_3800.yuv,vmaf,94.706,False,85
BigBuckBunny_25fps.yuv,BigBuckBunny_90_1080_4300.yuv,vmaf,95.382,False,90
BigBuckBunny_25fps.yuv,BigBuckBunny_95_1080_5800.yuv,vmaf,96.526,False,95
BirdsInCage_30fps.yuv,BirdsInCage_40_288_375.yuv,ssim,0.9275,False,40
BirdsInCage_30fps.yuv,BirdsInCage_50_288_550.yuv,ssim,0.93,False,50
BirdsInCage_30fps.yuv,BirdsInCage_60_384_550.yuv,ssim,0.9384,False,60
BirdsInCage_30fps.yuv,BirdsInCage_65_384_750.yuv,ssim,0.9404,False,65
BirdsInCage_30fps.yuv,BirdsInCage_80_480_750.yuv,ssim,0.9462,False,80
