Reference,Distorted,Metric,Metric_val,Mask,Subjective
BigBuckBunny_25fps.yuv,BigBuckBunny_20_288_375.yuv,ssim,0.765,True,20
BigBuckBunny_25fps.yuv,BigBuckBunny_30_384_550.yuv,ssim,0.8065,True,30
BigBuckBunny_25fps.yuv,BigBuckBunny_40_384_750.yuv,ssim,0.8198,True,40
BigBuckBunny_25fps.yuv,BigBuckBunny_50_480_1050.yuv,ssim,0.8567,True,50
BigBuckBunny_25fps.yuv,BigBuckBunny_55_480_1750.yuv,ssim,0.8746,True,55
BigBuckBunny_25fps.yuv,BigBuckBunny_75_720_3050.yuv,ssim,0.9274,True,75
BigBuckBunny_25fps.yuv,BigBuckBunny_80_720_4250.yuv,ssim,0.9359,True,80
BigBuckBunny_25fps.yuv,BigBuckBunny_85_1080_3800.yuv,ssim,0.9585,True,85
BigBuckBunny_25fps.yuv,BigBuckBunny_90_1080_4300.yuv,ssim,0.9633,True,90
BigBuckBunny_25fps.yuv,BigBuckBunny_95_1080_5800.yuv,ssim,0.9729,True,95
BigBuckBunny_25fps.yuv,BigBuckBunny_20_288_375.yuv,psnr,34.882,True,20
BigBuckBunny_25fps.yuv,BigBuckBunny_30_384_550.yuv,psnr,35.927,True,30
BigBuckBunny_25fps.yuv,BigBuckBunny_40_384_750.yuv,psnr,36.34,True,40
BigBuckBunny_25fps.yuv,BigBuckBunny_50_480_1050.yuv,psnr,37.352,True,50
BigBuckBunny_25fps.yuv,BigBuckBunny_55_480_1750.yuv,psnr,38.007,True,55
BigBuckBunny_25fps.yuv,BigBuckBunny_75_720_3050.yuv,psnr,40.179,True,75
BigBuckBunny_25fps.yuv,BigBuckBunny_80_720_4250.yuv,psnr,40.664,True,80
BigBuckBunny_25fps.yuv,BigBuckBunny_85_1080_3800.yuv,psnr,42.454,True,85
BigBuckBunny_25fps.yuv,BigBuckBunny_90_1080_4300.yuv,psnr,42.933,True,90
BigBuckBunny_25fps.yuv,BigBuckBunny_95_1080_5800.yuv,psnr,44.053,True,95
BigBuckBunny_25fps.yuv,BigBuckBunny_20_288_375.yuv,vmaf,27.979,True,20
BigBuckBunny_25fps.yuv,BigBuckBunny_30_384_550.yuv,vmaf,42.85,True,30
BigBuckBunny_25fps.yuv,BigBuckBunny_40_384_750.yuv,vmaf,47.562,True,40
BigBuckBunny_25fps.yuv,BigBuckBunny_50_480_1050.yuv,vmaf,60.391,True,50
BigBuckBunny_25fps.yuv,BigBuckBunny_55_480_1750.yuv,vmaf,66.2,True,55
BigBuckBunny_25fps.yuv,BigBuckBunny_75_720_3050.yuv,vmaf,82.269,True,75
BigBuckBunny_25fps.yuv,BigBuckBunny_80_720_4250.yuv,vmaf,84.471,True,80
BigBuckBunny_25fps.yuv,BigBuckBunny_85_1080_3800.yuv,vmaf,93.631,True,85
BigBuckBunny_25fps.yuv,BigBuckBunny_90_1080_4300.yuv,vmaf,94.52,True,90
BigBuckBunny_25fps.yuv,BigBuckBunny_95_1080_5800.yuv,vmaf,95.942,True,95
BirdsInCage_30fps.yuv,BirdsInCage_40_288_375.yuv,ssim,0.9058,True,40
BirdsInCage_30fps.yuv,BirdsInCage_50_288_550.yuv,ssim,0.9089,True,50
BirdsInCage_30fps.yuv,BirdsInCage_60_384_550.yuv,ssim,0.9205,True,60
BirdsInCage_30fps.yuv,BirdsInCage_65_384_750.yuv,ssim,0.9232,True,65
BirdsInCage_30fps.yuv,BirdsInCage_80_480_750.yuv,ssim,0.9316,True,80
BirdsInCage_30fps.yuv,BirdsInCage_85_720_1050.yuv,ssim,0.9412,True,85
BirdsInCage_30fps.yuv,BirdsInCage_90_1080_1800.yuv,ssim,0.9458,True,90
BirdsInCage_30fps.yuv,BirdsInCage_95_1080_3000.yuv,ssim,0.9497,True,95
BirdsInCage_30fps.yuv,BirdsInCage_40_288_375.yuv,psnr,40.815,True,40
BirdsInCage_30fps.yuv,BirdsInCage_50_288_550.yuv,psnr,40.989,True,50
BirdsInCage_30fps.yuv,BirdsInCage_60_384_550.yuv,psnr,41.831,True,60
BirdsInCage_30fps.yuv,BirdsInCage_65_384_750.yuv,psnr,41.994,True,65
BirdsInCage_30fps.yuv,BirdsInCage_80_480_750.yuv,psnr,42.66,True,80
BirdsInCage_30fps.yuv,BirdsInCage_85_720_1050.yuv,psnr,43.531,True,85
BirdsInCage_30fps.yuv,BirdsInCage_90_1080_1800.yuv,psnr,43.92,True,90
BirdsInCage_30fps.yuv,BirdsInCage_95_1080_3000.yuv,psnr,44.284,True,95
BirdsInCage_30fps.yuv,BirdsInCage_40_288_375.yuv,vmaf,47.083,True,40
BirdsInCage_30fps.yuv,BirdsInCage_50_288_550.yuv,vmaf,48.732,True,50
BirdsInCage_30fps.yuv,BirdsInCage_60_384_550.yuv,vmaf,61.222,True,60
BirdsInCage_30fps.yuv,BirdsInCage_65_384_750.yuv,vmaf,62.423,True,65
BirdsInCage_30fps.yuv,BirdsInCage_80_480_750.yuv,vmaf,72.046,True,80
BirdsInCage_30fps.yuv,BirdsInCage_85_720_1050.yuv,vmaf,82.782,True,85
BirdsInCage_30fps.yuv,BirdsInCage_90_1080_1800.yuv,vmaf,90.648,True,90
BirdsInCage_30fps.yuv,BirdsInCage_95_1080_3000.yuv,vmaf,92.222,True,95
CrowdRun_25fps.yuv,CrowdRun_03_288_375.yuv,ssim,0.5124,True,03
CrowdRun_25fps.yuv,CrowdRun_40_480_2350.yuv,ssim,0.7448,True,40
CrowdRun_25fps.yuv,CrowdRun_50_1080_4300.yuv,ssim,0.8048,True,50
