a   s -\798+9+E*
ROR:  blue_hair_x265, psnr, Tru
}z"RROR:  blue_hair_x265, ssim, False
ERROR:  blue_hair_x265, ssim, True
ERROR:  blue_hair_x265, vmaf, False
ERROR:  blue_hair_x265, vmaf, True
ERROR:  boys_x265, psnr, False
ERROR:  boys_x265, psnr, True
ERROR:  boys_x265, ssim, False
ERROR:  boys_x265, ssim, True
ERROR:  boys_x265, vmaf, False
ERROR:  boys_x265, vmaf, True
ERROR:  tourist_x265, psnr, False
ERROR:  tourist_x265, psnr, True
ERROR:  tourist_x265, ssim, False
ERROR:  tourist_x265, ssim, True
ERROR:  tourist_x265, vmaf, False
ERROR:  tourist_x265, vmaf, True
ERROR:  tourist_x265, psnr, False
ERROR:  tourist_x265, psnr, True
ERROR:  tourist_x265, ssim, False
ERROR:  tourist_x265, ssim, True
ERROR:  tourist_x265, vmaf, False
ERROR:  tourist_x265, vmaf, True
ERROR:  winter_riding_x265, psnr, False
ERROR:  winter_riding_x265, psnr, True
ERROR:  winter_riding_x265, ssim, False
ERROR:  winter_riding_x265, ssim, True
ERROR:  winter_riding_x265, vmaf, False
ERROR:  winter_riding_x265, vmaf, True
ERROR:  tourist_x265, psnr, False
ERROR:  tourist_x265, psnr, True
ERROR:  tourist_x265, ssim, False
ERROR:  tourist_x265, ssim, True
ERROR:  tourist_x265, vmaf, False
ERROR:  tourist_x265, vmaf, True
ERROR:  winter_riding_x265, psnr, False
ERROR:  winter_riding_x265, psnr, True
ERROR:  winter_riding_x265, ssim, False
ERROR:  winter_riding_x265, ssim, True
ERROR:  winter_riding_x265, vmaf, False
ERROR:  winter_riding_x265, vmaf, True
ERROR:  tourist_x265, psnr, False
ERROR:  tourist_x265, psnr, True
ERROR:  tourist_x265, ssim, False
ERROR:  tourist_x265, ssim, True
ERROR:  tourist_x265, vmaf, False
ERROR:  tourist_x265, vmaf, True
ERROR:  winter_riding_x265, psnr, False
ERROR:  winter_riding_x265, psnr, True
ERROR:  winter_riding_x265, ssim, False
ERROR:  winter_riding_x265, ssim, True
ERROR:  winter_riding_x265, vmaf, False
ERROR:  winter_riding_x265, vmaf, True
ERROR:  tourist_x265, psnr, False
ERROR:  tourist_x265, psnr, True
ERROR:  tourist_x265, ssim, False
ERROR:  tourist_x265, ssim, True
ERROR:  tourist_x265, vmaf, False
ERROR:  tourist_x265, vmaf, True
ERROR:  winter_riding_x265, psnr, False
ERROR:  winter_riding_x265, psnr, True
ERROR:  winter_riding_x265, ssim, False
ERROR:  winter_riding_x265, ssim, True
ERROR:  winter_riding_x265, vmaf, False
ERROR:  winter_riding_x265, vmaf, True
ERROR:  tourist_x265, psnr, False
ERROR:  tourist_x265, psnr, True
ERROR:  tourist_x265, ssim, False
ERROR:  tourist_x265, ssim, True
ERROR:  tourist_x265, vmaf, False
ERROR:  tourist_x265, vmaf, True
ERROR:  winter_riding_x265, psnr, False
ERROR:  winter_riding_x265, psnr, True
ERROR:  winter_riding_x265, ssim, False
ERROR:  winter_riding_x265, ssim, True
ERROR:  winter_riding_x265, vmaf, False
ERROR:  winter_riding_x265, vmaf, True
ERROR:  tourist_x265, niqe, False
ERROR:  tourist_x265, niqe, True
ERROR:  winter_riding_x265, niqe, False
ERROR:  winter_riding_x265, niqe, True
ERROR:  tourist_x265, niqe, False
ERROR:  tourist_x265, niqe, True
ERROR:  winter_riding_x265, niqe, False
ERROR:  winter_riding_x265, niqe, True
ERROR:  tourist_x265, niqe, False
ERROR:  tourist_x265, niqe, True
ERROR:  winter_riding_x265, niqe, False
ERROR:  winter_riding_x265, niqe, True
ERROR:  tourist_x265, niqe, False
ERROR:  tourist_x265, niqe, True
ERROR:  winter_riding_x265, niqe, False
ERROR:  winter_riding_x265, niqe, True
ERROR:  tourist_x265, niqe, False
ERROR:  tourist_x265, niqe, True
ERROR:  winter_riding_x265, niqe, False
ERROR:  winter_riding_x265, niqe, True
ERROR:  tourist_x265, niqe, False
ERROR:  tourist_x265, niqe, True
ERROR:  winter_riding_x265, niqe, False
ERROR:  winter_riding_x265, niqe, True
ERROR:  tourist_x265, niqe, False
ERROR:  tourist_x265, niqe, True
ERROR:  winter_riding_x265, niqe, False
ERROR:  winter_riding_x265, niqe, True
ERROR:  tourist_x265, niqe, False
ERROR:  tourist_x265, niqe, True
ERROR:  winter_riding_x265, niqe, False
ERROR:  winter_riding_x265, niqe, True
ERROR:  tourist_x265, niqe, False
ERROR:  tourist_x265, niqe, True
ERROR:  winter_riding_x265, niqe, False
ERROR:  winter_riding_x265, niqe, True
ERROR:  tourist_x265, niqe, False
ERROR:  tourist_x265, niqe, True
ERROR:  winter_riding_x265, niqe, False
ERROR:  winter_riding_x265, niqe, True
ERROR:  tourist_x265, niqe, False
ERROR:  tourist_x265, niqe, True
ERROR:  winter_riding_x265, niqe, False
ERROR:  winter_riding_x265, niqe, True
ERROR:  tourist_x265, niqe, False
ERROR:  tourist_x265, niqe, True
ERROR:  winter_riding_x265, niqe, False
ERROR:  winter_riding_x265, niqe, True
ERROR:  blue_hair_x265, niqe, FalseERROR:  blue_hair_x265, niqe, TrueERROR:  blue_hair_x265, niqe, FalseERROR:  blue_hair_x265, niqe, TrueERROR:  blue_hair_x265, niqe, FalseERROR:  blue_hair_x265, niqe, TrueERROR:  blue_hair_x265, niqe, FalseERROR:  blue_hair_x265, niqe, TrueERROR:  blue_hair_x265, niqe, FalseERROR:  blue_hair_x265, niqe, TrueERROR:  blue_hair_x265, niqe, FalseERROR:  blue_hair_x265, niqe, TrueERROR:  blue_hair_x265, niqe, FalseERROR:  blue_hair_x265, niqe, TrueERROR:  blue_hair_x265, niqe, FalseERROR:  blue_hair_x265, niqe, TrueERROR:  blue_hair_x265, niqe, FalseERROR:  blue_hair_x265, niqe, TrueERROR:  blue_hair_x265, niqe, FalseERROR:  blue_hair_x265, niqe, True
