Reference,Distorted,Metric,Metric_val,Mask
blue_hair_1920x1080_30.yuv,enc_res_kingsoft_v1_mv_offline_2k_v1_blue_hair_33.mp4,psnr,41.447,False
Reference,Distorted,Metric,Metric_val,Mask
blue_hair_1920x1080_30.yuv,enc_res_kingsoft_v1_mv_offline_2k_v1_blue_hair_33.mp4,psnr,41.447,False
blue_hair_1920x1080_30.yuv,enc_res_kingsoft_v1_mv_offline_2k_v1_blue_hair_38.mp4,psnr,39.55,False
blue_hair_1920x1080_30.yuv,enc_res_kingsoft_v1_mv_offline_2k_v1_blue_hair_43.mp4,psnr,37.749,False
blue_hair_1920x1080_30.yuv,enc_res_kingsoft_v2_mv_offline_2k_blue_hair_33.mp4,psnr,38.594,False
blue_hair_1920x1080_30.yuv,enc_res_kingsoft_v2_mv_offline_2k_blue_hair_39.mp4,psnr,37.715,False
blue_hair_1920x1080_30.yuv,enc_res_kingsoft_v2_mv_offline_2k_blue_hair_45.mp4,psnr,36.411,False
blue_hair_1920x1080_30.yuv,enc_res_kingsoft_v3_mv_offline_2k_blue_hair_28.mp4,psnr,41.508,False
blue_hair_1920x1080_30.yuv,enc_res_kingsoft_v3_mv_offline_2k_blue_hair_33.mp4,psnr,39.073,False
blue_hair_1920x1080_30.yuv,enc_res_kingsoft_v3_mv_offline_2k_blue_hair_38.mp4,psnr,36.726,False
blue_hair_1920x1080_30.yuv,enc_res_svt_av1_mv_offline_2k_blue_hair_40.mp4,psnr,41.576,False
blue_hair_1920x1080_30.yuv,enc_res_svt_av1_mv_offline_2k_blue_hair_48.mp4,psnr,39.685,False
blue_hair_1920x1080_30.yuv,enc_res_svt_av1_mv_offline_2k_blue_hair_58.mp4,psnr,37.245,False
blue_hair_1920x1080_30.yuv,enc_res_svt_hevc_mv_offline_2k_blue_hair_28.mp4,psnr,40.331,False
blue_hair_1920x1080_30.yuv,enc_res_svt_hevc_mv_offline_2k_blue_hair_33.mp4,psnr,37.879,False
blue_hair_1920x1080_30.yuv,enc_res_svt_hevc_mv_offline_2k_blue_hair_38.mp4,psnr,35.597,False
blue_hair_1920x1080_30.yuv,enc_res_svt_vp9_mv_offline_2k_blue_hair_45.mp4,psnr,40.281,False
blue_hair_1920x1080_30.yuv,enc_res_svt_vp9_mv_offline_2k_blue_hair_54.mp4,psnr,38.01,False
blue_hair_1920x1080_30.yuv,enc_res_svt_vp9_mv_offline_2k_blue_hair_62.mp4,psnr,35.432,False
blue_hair_1920x1080_30.yuv,enc_res_x264_mv_offline_2k_blue_hair_31.mp4,psnr,38.79,False
blue_hair_1920x1080_30.yuv,enc_res_x264_mv_offline_2k_blue_hair_36.mp4,psnr,35.877,False
blue_hair_1920x1080_30.yuv,enc_res_x264_mv_offline_2k_blue_hair_44.mp4,psnr,30.795,False
blue_hair_1920x1080_30.yuv,enc_res_x265_mv_offline_2k_blue_hair_28.mp4,psnr,41.235,False
blue_hair_1920x1080_30.yuv,enc_res_x265_mv_offline_2k_blue_hair_32.mp4,psnr,39.291,False
blue_hair_1920x1080_30.yuv,enc_res_x265_mv_offline_2k_blue_hair_37.mp4,psnr,36.931,False
blue_hair_1920x1080_30.yuv,enc_res_kingsoft_v1_mv_offline_2k_v1_blue_hair_33.mp4,psnr,44.998,True
blue_hair_1920x1080_30.yuv,enc_res_kingsoft_v1_mv_offline_2k_v1_blue_hair_38.mp4,psnr,43.426,True
blue_hair_1920x1080_30.yuv,enc_res_kingsoft_v1_mv_offline_2k_v1_blue_hair_43.mp4,psnr,41.81,True
blue_hair_1920x1080_30.yuv,enc_res_kingsoft_v2_mv_offline_2k_blue_hair_33.mp4,psnr,42.616,True
blue_hair_1920x1080_30.yuv,enc_res_kingsoft_v2_mv_offline_2k_blue_hair_39.mp4,psnr,41.845,True
blue_hair_1920x1080_30.yuv,enc_res_kingsoft_v2_mv_offline_2k_blue_hair_45.mp4,psnr,40.636,True
blue_hair_1920x1080_30.yuv,enc_res_kingsoft_v3_mv_offline_2k_blue_hair_28.mp4,psnr,45.043,True
blue_hair_1920x1080_30.yuv,enc_res_kingsoft_v3_mv_offline_2k_blue_hair_33.mp4,psnr,43.022,True
blue_hair_1920x1080_30.yuv,enc_res_kingsoft_v3_mv_offline_2k_blue_hair_38.mp4,psnr,40.89,True
blue_hair_1920x1080_30.yuv,enc_res_svt_av1_mv_offline_2k_blue_hair_40.mp4,psnr,45.097,True
blue_hair_1920x1080_30.yuv,enc_res_svt_av1_mv_offline_2k_blue_hair_48.mp4,psnr,43.535,True
blue_hair_1920x1080_30.yuv,enc_res_svt_av1_mv_offline_2k_blue_hair_58.mp4,psnr,41.342,True
blue_hair_1920x1080_30.yuv,enc_res_svt_hevc_mv_offline_2k_blue_hair_28.mp4,psnr,44.056,True
blue_hair_1920x1080_30.yuv,enc_res_svt_hevc_mv_offline_2k_blue_hair_33.mp4,psnr,41.915,True
blue_hair_1920x1080_30.yuv,enc_res_svt_hevc_mv_offline_2k_blue_hair_38.mp4,psnr,39.763,True
blue_hair_1920x1080_30.yuv,enc_res_svt_vp9_mv_offline_2k_blue_hair_45.mp4,psnr,43.99,True
blue_hair_1920x1080_30.yuv,enc_res_svt_vp9_mv_offline_2k_blue_hair_54.mp4,psnr,41.999,True
blue_hair_1920x1080_30.yuv,enc_res_svt_vp9_mv_offline_2k_blue_hair_62.mp4,psnr,39.588,True
blue_hair_1920x1080_30.yuv,enc_res_x264_mv_offline_2k_blue_hair_31.mp4,psnr,42.694,True
blue_hair_1920x1080_30.yuv,enc_res_x264_mv_offline_2k_blue_hair_36.mp4,psnr,40.015,True
blue_hair_1920x1080_30.yuv,enc_res_x264_mv_offline_2k_blue_hair_44.mp4,psnr,35.054,True
blue_hair_1920x1080_30.yuv,enc_res_x265_mv_offline_2k_blue_hair_28.mp4,psnr,44.784,True
blue_hair_1920x1080_30.yuv,enc_res_x265_mv_offline_2k_blue_hair_32.mp4,psnr,43.168,True
blue_hair_1920x1080_30.yuv,enc_res_x265_mv_offline_2k_blue_hair_37.mp4,psnr,41.048,True
blue_hair_1920x1080_30.yuv,enc_res_kingsoft_v1_mv_offline_2k_v1_blue_hair_33.mp4,ssim,0.9641,False
blue_hair_1920x1080_30.yuv,enc_res_kingsoft_v1_mv_offline_2k_v1_blue_hair_38.mp4,ssim,0.9539,False
blue_hair_1920x1080_30.yuv,enc_res_kingsoft_v1_mv_offline_2k_v1_blue_hair_43.mp4,ssim,0.9434,False
blue_hair_1920x1080_30.yuv,enc_res_kingsoft_v2_mv_offline_2k_blue_hair_33.mp4,ssim,0.9567,False
blue_hair_1920x1080_30.yuv,enc_res_kingsoft_v2_mv_offline_2k_blue_hair_39.mp4,ssim,0.9486,False
blue_hair_1920x1080_30.yuv,enc_res_kingsoft_v2_mv_offline_2k_blue_hair_45.mp4,ssim,0.9376,False
blue_hair_1920x1080_30.yuv,enc_res_kingsoft_v3_mv_offline_2k_blue_hair_28.mp4,ssim,0.9634,False
blue_hair_1920x1080_30.yuv,enc_res_kingsoft_v3_mv_offline_2k_blue_hair_33.mp4,ssim,0.9498,False
blue_hair_1920x1080_30.yuv,enc_res_kingsoft_v3_mv_offline_2k_blue_hair_38.mp4,ssim,0.9345,False
blue_hair_1920x1080_30.yuv,enc_res_svt_av1_mv_offline_2k_blue_hair_40.mp4,ssim,0.9649,False
blue_hair_1920x1080_30.yuv,enc_res_svt_av1_mv_offline_2k_blue_hair_48.mp4,ssim,0.9549,False
blue_hair_1920x1080_30.yuv,enc_res_svt_av1_mv_offline_2k_blue_hair_58.mp4,ssim,0.9406,False
blue_hair_1920x1080_30.yuv,enc_res_svt_hevc_mv_offline_2k_blue_hair_28.mp4,ssim,0.9573,False
blue_hair_1920x1080_30.yuv,enc_res_svt_hevc_mv_offline_2k_blue_hair_33.mp4,ssim,0.9429,False
blue_hair_1920x1080_30.yuv,enc_res_svt_hevc_mv_offline_2k_blue_hair_38.mp4,ssim,0.9277,False
blue_hair_1920x1080_30.yuv,enc_res_svt_vp9_mv_offline_2k_blue_hair_45.mp4,ssim,0.9568,False
blue_hair_1920x1080_30.yuv,enc_res_svt_vp9_mv_offline_2k_blue_hair_54.mp4,ssim,0.9426,False
blue_hair_1920x1080_30.yuv,enc_res_svt_vp9_mv_offline_2k_blue_hair_62.mp4,ssim,0.9236,False
blue_hair_1920x1080_30.yuv,enc_res_x264_mv_offline_2k_blue_hair_31.mp4,ssim,0.9516,False
blue_hair_1920x1080_30.yuv,enc_res_x264_mv_offline_2k_blue_hair_36.mp4,ssim,0.9311,False
blue_hair_1920x1080_30.yuv,enc_res_x264_mv_offline_2k_blue_hair_44.mp4,ssim,0.8805,False
blue_hair_1920x1080_30.yuv,enc_res_x265_mv_offline_2k_blue_hair_28.mp4,ssim,0.9629,False
blue_hair_1920x1080_30.yuv,enc_res_x265_mv_offline_2k_blue_hair_32.mp4,ssim,0.9516,False
blue_hair_1920x1080_30.yuv,enc_res_x265_mv_offline_2k_blue_hair_37.mp4,ssim,0.9364,False
blue_hair_1920x1080_30.yuv,enc_res_kingsoft_v1_mv_offline_2k_v1_blue_hair_33.mp4,ssim,0.9643,True
blue_hair_1920x1080_30.yuv,enc_res_kingsoft_v1_mv_offline_2k_v1_blue_hair_38.mp4,ssim,0.9541,True
blue_hair_1920x1080_30.yuv,enc_res_kingsoft_v1_mv_offline_2k_v1_blue_hair_43.mp4,ssim,0.9433,True
blue_hair_1920x1080_30.yuv,enc_res_kingsoft_v2_mv_offline_2k_blue_hair_33.mp4,ssim,0.9571,True
blue_hair_1920x1080_30.yuv,enc_res_kingsoft_v2_mv_offline_2k_blue_hair_39.mp4,ssim,0.949,True
blue_hair_1920x1080_30.yuv,enc_res_kingsoft_v2_mv_offline_2k_blue_hair_45.mp4,ssim,0.9378,True
blue_hair_1920x1080_30.yuv,enc_res_kingsoft_v3_mv_offline_2k_blue_hair_28.mp4,ssim,0.9635,True
blue_hair_1920x1080_30.yuv,enc_res_kingsoft_v3_mv_offline_2k_blue_hair_33.mp4,ssim,0.9499,True
blue_hair_1920x1080_30.yuv,enc_res_kingsoft_v3_mv_offline_2k_blue_hair_38.mp4,ssim,0.9343,True
blue_hair_1920x1080_30.yuv,enc_res_svt_av1_mv_offline_2k_blue_hair_40.mp4,ssim,0.965,True
blue_hair_1920x1080_30.yuv,enc_res_svt_av1_mv_offline_2k_blue_hair_48.mp4,ssim,0.955,True
blue_hair_1920x1080_30.yuv,enc_res_svt_av1_mv_offline_2k_blue_hair_58.mp4,ssim,0.9405,True
blue_hair_1920x1080_30.yuv,enc_res_svt_hevc_mv_offline_2k_blue_hair_28.mp4,ssim,0.9573,True
blue_hair_1920x1080_30.yuv,enc_res_svt_hevc_mv_offline_2k_blue_hair_33.mp4,ssim,0.9427,True
blue_hair_1920x1080_30.yuv,enc_res_svt_hevc_mv_offline_2k_blue_hair_38.mp4,ssim,0.927,True
blue_hair_1920x1080_30.yuv,enc_res_svt_vp9_mv_offline_2k_blue_hair_45.mp4,ssim,0.9567,True
blue_hair_1920x1080_30.yuv,enc_res_svt_vp9_mv_offline_2k_blue_hair_54.mp4,ssim,0.9423,True
blue_hair_1920x1080_30.yuv,enc_res_svt_vp9_mv_offline_2k_blue_hair_62.mp4,ssim,0.9228,True
blue_hair_1920x1080_30.yuv,enc_res_x264_mv_offline_2k_blue_hair_31.mp4,ssim,0.9515,True
blue_hair_1920x1080_30.yuv,enc_res_x264_mv_offline_2k_blue_hair_36.mp4,ssim,0.9305,True
blue_hair_1920x1080_30.yuv,enc_res_x264_mv_offline_2k_blue_hair_44.mp4,ssim,0.8784,True
blue_hair_1920x1080_30.yuv,enc_res_x265_mv_offline_2k_blue_hair_28.mp4,ssim,0.9629,True
blue_hair_1920x1080_30.yuv,enc_res_x265_mv_offline_2k_blue_hair_32.mp4,ssim,0.9515,True
blue_hair_1920x1080_30.yuv,enc_res_x265_mv_offline_2k_blue_hair_37.mp4,ssim,0.936,True
blue_hair_1920x1080_30.yuv,enc_res_kingsoft_v1_mv_offline_2k_v1_blue_hair_33.mp4,vmaf,94.305,False
blue_hair_1920x1080_30.yuv,enc_res_kingsoft_v1_mv_offline_2k_v1_blue_hair_38.mp4,vmaf,84.046,False
blue_hair_1920x1080_30.yuv,enc_res_kingsoft_v1_mv_offline_2k_v1_blue_hair_43.mp4,vmaf,71.77,False
blue_hair_1920x1080_30.yuv,enc_res_kingsoft_v2_mv_offline_2k_blue_hair_33.mp4,vmaf,97.889,False
