Reference,Distorted,Metric,Metric_val,Mask
Reference,Distorted,Metric,Metric_val,Mask
Reference,Distorted,Metric,Metric_val,Mask
Reference,Distorted,Metric,Metric_val,Mask
Reference,Distorted,Metric,Metric_val,Mask
Reference,Distorted,Metric,Metric_val,Mask
Reference,Distorted,Metric,Metric_val,Mask
Reference,Distorted,Metric,Metric_val,Mask
Reference,Distorted,Metric,Metric_val,Mask
enc_res_x265_mv_offline_2k_blue_hair_28.mp4,enc_res_kingsoft_v1_mv_offline_2k_v1_blue_hair_33.mp4,psnr,46.001,True
enc_res_x265_mv_offline_2k_blue_hair_28.mp4,enc_res_kingsoft_v1_mv_offline_2k_v1_blue_hair_38.mp4,psnr,44.773,True
enc_res_x265_mv_offline_2k_blue_hair_28.mp4,enc_res_kingsoft_v1_mv_offline_2k_v1_blue_hair_43.mp4,psnr,42.979,True
enc_res_x265_mv_offline_2k_blue_hair_28.mp4,enc_res_kingsoft_v2_mv_offline_2k_blue_hair_33.mp4,psnr,43.132,True
enc_res_x265_mv_offline_2k_blue_hair_28.mp4,enc_res_kingsoft_v2_mv_offline_2k_blue_hair_39.mp4,psnr,42.621,True
enc_res_x265_mv_offline_2k_blue_hair_28.mp4,enc_res_kingsoft_v2_mv_offline_2k_blue_hair_45.mp4,psnr,41.427,True
enc_res_x265_mv_offline_2k_blue_hair_28.mp4,enc_res_kingsoft_v3_mv_offline_2k_blue_hair_28.mp4,psnr,46.383,True
enc_res_x265_mv_offline_2k_blue_hair_28.mp4,enc_res_kingsoft_v3_mv_offline_2k_blue_hair_33.mp4,psnr,44.472,True
enc_res_x265_mv_offline_2k_blue_hair_28.mp4,enc_res_kingsoft_v3_mv_offline_2k_blue_hair_38.mp4,psnr,41.917,True
enc_res_x265_mv_offline_2k_blue_hair_28.mp4,enc_res_svt_av1_mv_offline_2k_blue_hair_40.mp4,psnr,46.05,True
enc_res_x265_mv_offline_2k_blue_hair_28.mp4,enc_res_svt_av1_mv_offline_2k_blue_hair_48.mp4,psnr,44.858,True
enc_res_x265_mv_offline_2k_blue_hair_28.mp4,enc_res_svt_av1_mv_offline_2k_blue_hair_58.mp4,psnr,42.413,True
enc_res_x265_mv_offline_2k_blue_hair_28.mp4,enc_res_svt_hevc_mv_offline_2k_blue_hair_28.mp4,psnr,45.385,True
enc_res_x265_mv_offline_2k_blue_hair_28.mp4,enc_res_svt_hevc_mv_offline_2k_blue_hair_33.mp4,psnr,43.091,True
enc_res_x265_mv_offline_2k_blue_hair_28.mp4,enc_res_svt_hevc_mv_offline_2k_blue_hair_38.mp4,psnr,40.596,True
