,Reference,Distorted,Metric,Metric_val,Mask,Subjective
0,enc_res_x265_mv_offline_2k_blue_hair_28.mp4,enc_res_kingsoft_v1_mv_offline_2k_v1_blue_hair_33.mp4,psnr,42.877,False,5.673068297172945
1,enc_res_x265_mv_offline_2k_blue_hair_28.mp4,enc_res_kingsoft_v1_mv_offline_2k_v1_blue_hair_38.mp4,psnr,41.307,False,5.66340286203501
2,enc_res_x265_mv_offline_2k_blue_hair_28.mp4,enc_res_kingsoft_v1_mv_offline_2k_v1_blue_hair_43.mp4,psnr,39.189,False,5.243526334400184
3,enc_res_x265_mv_offline_2k_blue_hair_28.mp4,enc_res_kingsoft_v2_mv_offline_2k_blue_hair_33.mp4,psnr,39.364,False,6.346977572482853
4,enc_res_x265_mv_offline_2k_blue_hair_28.mp4,enc_res_kingsoft_v2_mv_offline_2k_blue_hair_39.mp4,psnr,38.737,False,6.177970683278712
5,enc_res_x265_mv_offline_2k_blue_hair_28.mp4,enc_res_kingsoft_v2_mv_offline_2k_blue_hair_45.mp4,psnr,37.386,False,5.417861161606206
9,enc_res_x265_mv_offline_2k_blue_hair_28.mp4,enc_res_svt_av1_mv_offline_2k_blue_hair_40.mp4,psnr,42.928,False,5.5305848584583055
10,enc_res_x265_mv_offline_2k_blue_hair_28.mp4,enc_res_svt_av1_mv_offline_2k_blue_hair_48.mp4,psnr,41.407,False,5.4081835197032735
11,enc_res_x265_mv_offline_2k_blue_hair_28.mp4,enc_res_svt_av1_mv_offline_2k_blue_hair_58.mp4,psnr,38.544,False,4.723917251086838
12,enc_res_x265_mv_offline_2k_blue_hair_28.mp4,enc_res_svt_hevc_mv_offline_2k_blue_hair_28.mp4,psnr,42.062,False,5.579203281635387
13,enc_res_x265_mv_offline_2k_blue_hair_28.mp4,enc_res_svt_hevc_mv_offline_2k_blue_hair_33.mp4,psnr,39.323,False,5.108962307167965
14,enc_res_x265_mv_offline_2k_blue_hair_28.mp4,enc_res_svt_hevc_mv_offline_2k_blue_hair_38.mp4,psnr,36.586,False,3.893108075587005
15,enc_res_x265_mv_offline_2k_blue_hair_28.mp4,enc_res_svt_vp9_mv_offline_2k_blue_hair_45.mp4,psnr,41.551,False,5.541520546818917
16,enc_res_x265_mv_offline_2k_blue_hair_28.mp4,enc_res_svt_vp9_mv_offline_2k_blue_hair_54.mp4,psnr,39.256,False,4.528711020730032
17,enc_res_x265_mv_offline_2k_blue_hair_28.mp4,enc_res_svt_vp9_mv_offline_2k_blue_hair_62.mp4,psnr,36.322,False,3.1366945348370097
18,enc_res_x265_mv_offline_2k_blue_hair_28.mp4,enc_res_x264_mv_offline_2k_blue_hair_31.mp4,psnr,40.043,False,4.625323443676742
19,enc_res_x265_mv_offline_2k_blue_hair_28.mp4,enc_res_x264_mv_offline_2k_blue_hair_36.mp4,psnr,36.767,False,3.185055091647364
20,enc_res_x265_mv_offline_2k_blue_hair_28.mp4,enc_res_x264_mv_offline_2k_blue_hair_44.mp4,psnr,31.133,False,0.0
21,enc_res_x265_mv_offline_2k_blue_hair_28.mp4,enc_res_x265_mv_offline_2k_blue_hair_32.mp4,psnr,41.275,False,5.429375574189711
22,enc_res_x265_mv_offline_2k_blue_hair_28.mp4,enc_res_x265_mv_offline_2k_blue_hair_37.mp4,psnr,38.223,False,4.502431206238002
23,enc_res_x265_mv_offline_2k_blue_hair_28.mp4,enc_res_kingsoft_v1_mv_offline_2k_v1_blue_hair_33.mp4,psnr,46.001,True,5.673068297172945
