Reference,Distorted,Metric,Metric_val,Mask
enc_res_x265_mv_offline_2k_blue_hair_28.mp4,enc_res_kingsoft_v1_mv_offline_2k_v1_blue_hair_33.mp4,ssim,0.9799,False
enc_res_x265_mv_offline_2k_blue_hair_28.mp4,enc_res_kingsoft_v1_mv_offline_2k_v1_blue_hair_38.mp4,ssim,0.9748,False
enc_res_x265_mv_offline_2k_blue_hair_28.mp4,enc_res_kingsoft_v1_mv_offline_2k_v1_blue_hair_43.mp4,ssim,0.9658,False
enc_res_x265_mv_offline_2k_blue_hair_28.mp4,enc_res_kingsoft_v2_mv_offline_2k_blue_hair_33.mp4,ssim,0.9753,False
enc_res_x265_mv_offline_2k_blue_hair_28.mp4,enc_res_kingsoft_v2_mv_offline_2k_blue_hair_39.mp4,ssim,0.9701,False
enc_res_x265_mv_offline_2k_blue_hair_28.mp4,enc_res_kingsoft_v2_mv_offline_2k_blue_hair_45.mp4,ssim,0.9603,False
enc_res_x265_mv_offline_2k_blue_hair_28.mp4,enc_res_kingsoft_v3_mv_offline_2k_blue_hair_28.mp4,ssim,0.9813,False
enc_res_x265_mv_offline_2k_blue_hair_28.mp4,enc_res_kingsoft_v3_mv_offline_2k_blue_hair_33.mp4,ssim,0.972,False
enc_res_x265_mv_offline_2k_blue_hair_28.mp4,enc_res_kingsoft_v3_mv_offline_2k_blue_hair_38.mp4,ssim,0.9574,False
enc_res_x265_mv_offline_2k_blue_hair_28.mp4,enc_res_svt_av1_mv_offline_2k_blue_hair_40.mp4,ssim,0.9804,False
enc_res_x265_mv_offline_2k_blue_hair_28.mp4,enc_res_svt_av1_mv_offline_2k_blue_hair_48.mp4,ssim,0.9756,False
enc_res_x265_mv_offline_2k_blue_hair_28.mp4,enc_res_svt_av1_mv_offline_2k_blue_hair_58.mp4,ssim,0.9632,False
enc_res_x265_mv_offline_2k_blue_hair_28.mp4,enc_res_svt_hevc_mv_offline_2k_blue_hair_28.mp4,ssim,0.9765,False
enc_res_x265_mv_offline_2k_blue_hair_28.mp4,enc_res_svt_hevc_mv_offline_2k_blue_hair_33.mp4,ssim,0.965,False
enc_res_x265_mv_offline_2k_blue_hair_28.mp4,enc_res_svt_hevc_mv_offline_2k_blue_hair_38.mp4,ssim,0.9502,False
enc_res_x265_mv_offline_2k_blue_hair_28.mp4,enc_res_svt_vp9_mv_offline_2k_blue_hair_45.mp4,ssim,0.9743,False
enc_res_x265_mv_offline_2k_blue_hair_28.mp4,enc_res_svt_vp9_mv_offline_2k_blue_hair_54.mp4,ssim,0.9637,False
enc_res_x265_mv_offline_2k_blue_hair_28.mp4,enc_res_svt_vp9_mv_offline_2k_blue_hair_62.mp4,ssim,0.9458,False
enc_res_x265_mv_offline_2k_blue_hair_28.mp4,enc_res_x264_mv_offline_2k_blue_hair_31.mp4,ssim,0.9703,False
enc_res_x265_mv_offline_2k_blue_hair_28.mp4,enc_res_x264_mv_offline_2k_blue_hair_36.mp4,ssim,0.9524,False
enc_res_x265_mv_offline_2k_blue_hair_28.mp4,enc_res_x264_mv_offline_2k_blue_hair_44.mp4,ssim,0.9013,False
enc_res_x265_mv_offline_2k_blue_hair_28.mp4,enc_res_x265_mv_offline_2k_blue_hair_32.mp4,ssim,0.9741,False
enc_res_x265_mv_offline_2k_blue_hair_28.mp4,enc_res_x265_mv_offline_2k_blue_hair_37.mp4,ssim,0.9595,False
enc_res_x265_mv_offline_2k_boys_30.mp4,enc_res_kingsoft_v1_mv_offline_2k_v1_boys_33.mp4,ssim,0.952,False
enc_res_x265_mv_offline_2k_boys_30.mp4,enc_res_kingsoft_v1_mv_offline_2k_v1_boys_39.mp4,ssim,0.9304,False
enc_res_x265_mv_offline_2k_boys_30.mp4,enc_res_kingsoft_v1_mv_offline_2k_v1_boys_44.mp4,ssim,0.8958,False
enc_res_x265_mv_offline_2k_boys_30.mp4,enc_res_kingsoft_v2_mv_offline_2k_boys_32.mp4,ssim,0.8852,False
enc_res_x265_mv_offline_2k_boys_30.mp4,enc_res_kingsoft_v2_mv_offline_2k_boys_38.mp4,ssim,0.8716,False
enc_res_x265_mv_offline_2k_boys_30.mp4,enc_res_kingsoft_v2_mv_offline_2k_boys_44.mp4,ssim,0.8486,False
enc_res_x265_mv_offline_2k_boys_30.mp4,enc_res_kingsoft_v3_mv_offline_2k_boys_29.mp4,ssim,0.9545,False
enc_res_x265_mv_offline_2k_boys_30.mp4,enc_res_kingsoft_v3_mv_offline_2k_boys_34.mp4,ssim,0.9323,False
enc_res_x265_mv_offline_2k_boys_30.mp4,enc_res_kingsoft_v3_mv_offline_2k_boys_39.mp4,ssim,0.8925,False
enc_res_x265_mv_offline_2k_boys_30.mp4,enc_res_svt_av1_mv_offline_2k_boys_44.mp4,ssim,0.9527,False
enc_res_x265_mv_offline_2k_boys_30.mp4,enc_res_svt_av1_mv_offline_2k_boys_54.mp4,ssim,0.9304,False
enc_res_x265_mv_offline_2k_boys_30.mp4,enc_res_svt_av1_mv_offline_2k_boys_62.mp4,ssim,0.8896,False
enc_res_x265_mv_offline_2k_boys_30.mp4,enc_res_svt_hevc_mv_offline_2k_boys_31.mp4,ssim,0.9344,False
enc_res_x265_mv_offline_2k_boys_30.mp4,enc_res_svt_hevc_mv_offline_2k_boys_36.mp4,ssim,0.8997,False
enc_res_x265_mv_offline_2k_boys_30.mp4,enc_res_svt_hevc_mv_offline_2k_boys_40.mp4,ssim,0.8622,False
enc_res_x265_mv_offline_2k_boys_30.mp4,enc_res_svt_vp9_mv_offline_2k_boys_53.mp4,ssim,0.9091,False
enc_res_x265_mv_offline_2k_boys_30.mp4,enc_res_svt_vp9_mv_offline_2k_boys_61.mp4,ssim,0.8666,False
enc_res_x265_mv_offline_2k_boys_30.mp4,enc_res_svt_vp9_mv_offline_2k_boys_63.mp4,ssim,0.8409,False
enc_res_x265_mv_offline_2k_boys_30.mp4,enc_res_x264_mv_offline_2k_boys_30.mp4,ssim,0.9211,False
enc_res_x265_mv_offline_2k_boys_30.mp4,enc_res_x264_mv_offline_2k_boys_35.mp4,ssim,0.8715,False
enc_res_x265_mv_offline_2k_boys_30.mp4,enc_res_x264_mv_offline_2k_boys_41.mp4,ssim,0.784,False
enc_res_x265_mv_offline_2k_boys_30.mp4,enc_res_x265_mv_offline_2k_boys_35.mp4,ssim,0.9347,False
enc_res_x265_mv_offline_2k_boys_30.mp4,enc_res_x265_mv_offline_2k_boys_40.mp4,ssim,0.8894,False
enc_res_x265_mv_offline_2k_game_streamer_33.mp4,enc_res_kingsoft_v1_mv_offline_2k_v1_game_streamer_35.mp4,ssim,0.8219,False
enc_res_x265_mv_offline_2k_game_streamer_33.mp4,enc_res_kingsoft_v1_mv_offline_2k_v1_game_streamer_38.mp4,ssim,0.7799,False
enc_res_x265_mv_offline_2k_game_streamer_33.mp4,enc_res_kingsoft_v1_mv_offline_2k_v1_game_streamer_40.mp4,ssim,0.7387,False
enc_res_x265_mv_offline_2k_game_streamer_33.mp4,enc_res_kingsoft_v2_mv_offline_2k_game_streamer_33.mp4,ssim,0.7247,False
enc_res_x265_mv_offline_2k_game_streamer_33.mp4,enc_res_kingsoft_v2_mv_offline_2k_game_streamer_36.mp4,ssim,0.6834,False
enc_res_x265_mv_offline_2k_game_streamer_33.mp4,enc_res_kingsoft_v2_mv_offline_2k_game_streamer_39.mp4,ssim,0.6328,False
enc_res_x265_mv_offline_2k_game_streamer_33.mp4,enc_res_kingsoft_v3_mv_offline_2k_game_streamer_32.mp4,ssim,0.832,False
enc_res_x265_mv_offline_2k_game_streamer_33.mp4,enc_res_kingsoft_v3_mv_offline_2k_game_streamer_34.mp4,ssim,0.7798,False
enc_res_x265_mv_offline_2k_game_streamer_33.mp4,enc_res_kingsoft_v3_mv_offline_2k_game_streamer_36.mp4,ssim,0.694,False
enc_res_x265_mv_offline_2k_game_streamer_33.mp4,enc_res_svt_av1_mv_offline_2k_game_streamer_54.mp4,ssim,0.8211,False
enc_res_x265_mv_offline_2k_game_streamer_33.mp4,enc_res_svt_av1_mv_offline_2k_game_streamer_60.mp4,ssim,0.7649,False
enc_res_x265_mv_offline_2k_game_streamer_33.mp4,enc_res_svt_av1_mv_offline_2k_game_streamer_63.mp4,ssim,0.6792,False
enc_res_x265_mv_offline_2k_game_streamer_33.mp4,enc_res_svt_hevc_mv_offline_2k_game_streamer_34.mp4,ssim,0.7997,False
enc_res_x265_mv_offline_2k_game_streamer_33.mp4,enc_res_svt_hevc_mv_offline_2k_game_streamer_36.mp4,ssim,0.7434,False
enc_res_x265_mv_offline_2k_game_streamer_33.mp4,enc_res_svt_hevc_mv_offline_2k_game_streamer_39.mp4,ssim,0.6233,False
enc_res_x265_mv_offline_2k_game_streamer_33.mp4,enc_res_svt_vp9_mv_offline_2k_game_streamer_60.mp4,ssim,0.7438,False
enc_res_x265_mv_offline_2k_game_streamer_33.mp4,enc_res_svt_vp9_mv_offline_2k_game_streamer_63.mp4,ssim,0.6625,False
enc_res_x265_mv_offline_2k_game_streamer_33.mp4,enc_res_x264_mv_offline_2k_game_streamer_32.mp4,ssim,0.8343,False
enc_res_x265_mv_offline_2k_game_streamer_33.mp4,enc_res_x264_mv_offline_2k_game_streamer_34.mp4,ssim,0.7658,False
enc_res_x265_mv_offline_2k_game_streamer_33.mp4,enc_res_x264_mv_offline_2k_game_streamer_36.mp4,ssim,0.6519,False
enc_res_x265_mv_offline_2k_game_streamer_33.mp4,enc_res_x265_mv_offline_2k_game_streamer_35.mp4,ssim,0.8399,False
enc_res_x265_mv_offline_2k_game_streamer_33.mp4,enc_res_x265_mv_offline_2k_game_streamer_37.mp4,ssim,0.7347,False
enc_res_x265_mv_offline_2k_happy_dog_31.mp4,enc_res_kingsoft_v1_mv_offline_2k_v1_happy_dog_36.mp4,ssim,0.9491,False
enc_res_x265_mv_offline_2k_happy_dog_31.mp4,enc_res_kingsoft_v1_mv_offline_2k_v1_happy_dog_42.mp4,ssim,0.9314,False
enc_res_x265_mv_offline_2k_happy_dog_31.mp4,enc_res_kingsoft_v1_mv_offline_2k_v1_happy_dog_47.mp4,ssim,0.8979,False
