,Reference,Distorted,Metric,Metric_val,Mask,Subjective
0,enc_res_x265_mv_offline_2k_blue_hair_28.mp4,enc_res_kingsoft_v1_mv_offline_2k_v1_blue_hair_33.mp4,ssim,0.9799,False,5.673068297172945
1,enc_res_x265_mv_offline_2k_blue_hair_28.mp4,enc_res_kingsoft_v1_mv_offline_2k_v1_blue_hair_38.mp4,ssim,0.9748,False,5.66340286203501
2,enc_res_x265_mv_offline_2k_blue_hair_28.mp4,enc_res_kingsoft_v1_mv_offline_2k_v1_blue_hair_43.mp4,ssim,0.9658,False,5.243526334400184
3,enc_res_x265_mv_offline_2k_blue_hair_28.mp4,enc_res_kingsoft_v2_mv_offline_2k_blue_hair_33.mp4,ssim,0.9753,False,6.346977572482853
4,enc_res_x265_mv_offline_2k_blue_hair_28.mp4,enc_res_kingsoft_v2_mv_offline_2k_blue_hair_39.mp4,ssim,0.9701,False,6.177970683278712
5,enc_res_x265_mv_offline_2k_blue_hair_28.mp4,enc_res_kingsoft_v2_mv_offline_2k_blue_hair_45.mp4,ssim,0.9603,False,5.417861161606206
9,enc_res_x265_mv_offline_2k_blue_hair_28.mp4,enc_res_svt_av1_mv_offline_2k_blue_hair_40.mp4,ssim,0.9804,False,5.5305848584583055
10,enc_res_x265_mv_offline_2k_blue_hair_28.mp4,enc_res_svt_av1_mv_offline_2k_blue_hair_48.mp4,ssim,0.9756,False,5.4081835197032735
11,enc_res_x265_mv_offline_2k_blue_hair_28.mp4,enc_res_svt_av1_mv_offline_2k_blue_hair_58.mp4,ssim,0.9632,False,4.723917251086838
12,enc_res_x265_mv_offline_2k_blue_hair_28.mp4,enc_res_svt_hevc_mv_offline_2k_blue_hair_28.mp4,ssim,0.9765,False,5.579203281635387
13,enc_res_x265_mv_offline_2k_blue_hair_28.mp4,enc_res_svt_hevc_mv_offline_2k_blue_hair_33.mp4,ssim,0.965,False,5.108962307167965
14,enc_res_x265_mv_offline_2k_blue_hair_28.mp4,enc_res_svt_hevc_mv_offline_2k_blue_hair_38.mp4,ssim,0.9502,False,3.893108075587005
15,enc_res_x265_mv_offline_2k_blue_hair_28.mp4,enc_res_svt_vp9_mv_offline_2k_blue_hair_45.mp4,ssim,0.9743,False,5.541520546818917
16,enc_res_x265_mv_offline_2k_blue_hair_28.mp4,enc_res_svt_vp9_mv_offline_2k_blue_hair_54.mp4,ssim,0.9637,False,4.528711020730032
17,enc_res_x265_mv_offline_2k_blue_hair_28.mp4,enc_res_svt_vp9_mv_offline_2k_blue_hair_62.mp4,ssim,0.9458,False,3.1366945348370097
18,enc_res_x265_mv_offline_2k_blue_hair_28.mp4,enc_res_x264_mv_offline_2k_blue_hair_31.mp4,ssim,0.9703,False,4.625323443676742
19,enc_res_x265_mv_offline_2k_blue_hair_28.mp4,enc_res_x264_mv_offline_2k_blue_hair_36.mp4,ssim,0.9524,False,3.185055091647364
20,enc_res_x265_mv_offline_2k_blue_hair_28.mp4,enc_res_x264_mv_offline_2k_blue_hair_44.mp4,ssim,0.9013,False,0.0
21,enc_res_x265_mv_offline_2k_blue_hair_28.mp4,enc_res_x265_mv_offline_2k_blue_hair_32.mp4,ssim,0.9741,False,5.429375574189711
22,enc_res_x265_mv_offline_2k_blue_hair_28.mp4,enc_res_x265_mv_offline_2k_blue_hair_37.mp4,ssim,0.9595,False,4.502431206238002
23,enc_res_x265_mv_offline_2k_boys_30.mp4,enc_res_kingsoft_v1_mv_offline_2k_v1_boys_33.mp4,ssim,0.952,False,4.256369173647472
25,enc_res_x265_mv_offline_2k_boys_30.mp4,enc_res_kingsoft_v1_mv_offline_2k_v1_boys_44.mp4,ssim,0.8958,False,2.413392476577415
26,enc_res_x265_mv_offline_2k_boys_30.mp4,enc_res_kingsoft_v2_mv_offline_2k_boys_32.mp4,ssim,0.8852,False,5.206694116333419
27,enc_res_x265_mv_offline_2k_boys_30.mp4,enc_res_kingsoft_v2_mv_offline_2k_boys_38.mp4,ssim,0.8716,False,4.583674168014015
28,enc_res_x265_mv_offline_2k_boys_30.mp4,enc_res_kingsoft_v2_mv_offline_2k_boys_44.mp4,ssim,0.8486,False,3.0368390144204147
32,enc_res_x265_mv_offline_2k_boys_30.mp4,enc_res_svt_av1_mv_offline_2k_boys_44.mp4,ssim,0.9527,False,4.707687281577879
33,enc_res_x265_mv_offline_2k_boys_30.mp4,enc_res_svt_av1_mv_offline_2k_boys_54.mp4,ssim,0.9304,False,3.588929372315943
34,enc_res_x265_mv_offline_2k_boys_30.mp4,enc_res_svt_av1_mv_offline_2k_boys_62.mp4,ssim,0.8896,False,2.01268752783576
35,enc_res_x265_mv_offline_2k_boys_30.mp4,enc_res_svt_hevc_mv_offline_2k_boys_31.mp4,ssim,0.9344,False,4.168053059852595
36,enc_res_x265_mv_offline_2k_boys_30.mp4,enc_res_svt_hevc_mv_offline_2k_boys_36.mp4,ssim,0.8997,False,2.8878827876980804
37,enc_res_x265_mv_offline_2k_boys_30.mp4,enc_res_svt_hevc_mv_offline_2k_boys_40.mp4,ssim,0.8622,False,1.6238055834388052
38,enc_res_x265_mv_offline_2k_boys_30.mp4,enc_res_svt_vp9_mv_offline_2k_boys_53.mp4,ssim,0.9091,False,3.428521528794996
39,enc_res_x265_mv_offline_2k_boys_30.mp4,enc_res_svt_vp9_mv_offline_2k_boys_61.mp4,ssim,0.8666,False,1.8690413135943564
40,enc_res_x265_mv_offline_2k_boys_30.mp4,enc_res_svt_vp9_mv_offline_2k_boys_63.mp4,ssim,0.8409,False,1.1787658059386974
41,enc_res_x265_mv_offline_2k_boys_30.mp4,enc_res_x264_mv_offline_2k_boys_30.mp4,ssim,0.9211,False,3.838110902032029
42,enc_res_x265_mv_offline_2k_boys_30.mp4,enc_res_x264_mv_offline_2k_boys_35.mp4,ssim,0.8715,False,1.8926543897040995
43,enc_res_x265_mv_offline_2k_boys_30.mp4,enc_res_x264_mv_offline_2k_boys_41.mp4,ssim,0.784,False,0.0
