,Unnamed: 0,index,Reference,Distorted,Metric,Metric_val,Mask,Subjective
0,0,444,blue_hair_1920x1080_30.yuv,enc_res_kingsoft_v1_mv_offline_2k_v1_blue_hair_33.mp4,niqe,10.877,True,5.673068297172945
1,1,420,blue_hair_1920x1080_30.yuv,enc_res_kingsoft_v1_mv_offline_2k_v1_blue_hair_33.mp4,niqe,8.8103,False,5.673068297172945
2,2,445,blue_hair_1920x1080_30.yuv,enc_res_kingsoft_v1_mv_offline_2k_v1_blue_hair_38.mp4,niqe,11.116,True,5.66340286203501
3,3,421,blue_hair_1920x1080_30.yuv,enc_res_kingsoft_v1_mv_offline_2k_v1_blue_hair_38.mp4,niqe,9.2161,False,5.66340286203501
4,4,446,blue_hair_1920x1080_30.yuv,enc_res_kingsoft_v1_mv_offline_2k_v1_blue_hair_43.mp4,niqe,11.283,True,5.243526334400184
5,5,422,blue_hair_1920x1080_30.yuv,enc_res_kingsoft_v1_mv_offline_2k_v1_blue_hair_43.mp4,niqe,9.4846,False,5.243526334400184
6,6,92,boys_1920x1080_25.yuv,enc_res_kingsoft_v1_mv_offline_2k_v1_boys_33.mp4,niqe,8.8762,False,4.256369173647472
7,7,116,boys_1920x1080_25.yuv,enc_res_kingsoft_v1_mv_offline_2k_v1_boys_33.mp4,niqe,9.939,True,4.256369173647472
10,10,94,boys_1920x1080_25.yuv,enc_res_kingsoft_v1_mv_offline_2k_v1_boys_44.mp4,niqe,8.5533,False,2.413392476577415
11,11,118,boys_1920x1080_25.yuv,enc_res_kingsoft_v1_mv_offline_2k_v1_boys_44.mp4,niqe,10.097,True,2.413392476577415
12,12,140,game_streamer_1920x1080_30.yuv,enc_res_kingsoft_v1_mv_offline_2k_v1_game_streamer_35.mp4,niqe,5.4403,False,2.2617954164211453
13,13,163,game_streamer_1920x1080_30.yuv,enc_res_kingsoft_v1_mv_offline_2k_v1_game_streamer_35.mp4,niqe,6.3039,True,2.2617954164211453
14,14,164,game_streamer_1920x1080_30.yuv,enc_res_kingsoft_v1_mv_offline_2k_v1_game_streamer_38.mp4,niqe,6.3542,True,2.087587413660723
15,15,141,game_streamer_1920x1080_30.yuv,enc_res_kingsoft_v1_mv_offline_2k_v1_game_streamer_38.mp4,niqe,5.3342,False,2.087587413660723
16,16,165,game_streamer_1920x1080_30.yuv,enc_res_kingsoft_v1_mv_offline_2k_v1_game_streamer_40.mp4,niqe,6.4333,True,1.6196787278474123
17,17,142,game_streamer_1920x1080_30.yuv,enc_res_kingsoft_v1_mv_offline_2k_v1_game_streamer_40.mp4,niqe,5.2895,False,1.6196787278474123
18,18,186,happy_dog_1920x1080_60.yuv,enc_res_kingsoft_v1_mv_offline_2k_v1_happy_dog_36.mp4,niqe,6.6877,False,5.686362388379153
