Reference,Distorted,Metric,Metric_val,Mask
tourist_1920x1080_60.yuv,enc_res_kingsoft_v1_mv_offline_2k_v1_tourist_30.mp4,niqe,5.6523,False
tourist_1920x1080_60.yuv,enc_res_kingsoft_v1_mv_offline_2k_v1_tourist_35.mp4,niqe,5.6905,False
tourist_1920x1080_60.yuv,enc_res_kingsoft_v1_mv_offline_2k_v1_tourist_41.mp4,niqe,5.7992,False
tourist_1920x1080_60.yuv,enc_res_kingsoft_v2_mv_offline_2k_tourist_33.mp4,niqe,5.7786,False
tourist_1920x1080_60.yuv,enc_res_kingsoft_v2_mv_offline_2k_tourist_39.mp4,niqe,5.8102,False
tourist_1920x1080_60.yuv,enc_res_kingsoft_v2_mv_offline_2k_tourist_45.mp4,niqe,5.8507,False
tourist_1920x1080_60.yuv,enc_res_kingsoft_v3_mv_offline_2k_tourist_26.mp4,niqe,5.3893,False
tourist_1920x1080_60.yuv,enc_res_kingsoft_v3_mv_offline_2k_tourist_30.mp4,niqe,5.4042,False
tourist_1920x1080_60.yuv,enc_res_kingsoft_v3_mv_offline_2k_tourist_35.mp4,niqe,5.4514,False
tourist_1920x1080_60.yuv,enc_res_svt_av1_mv_offline_2k_tourist_40.mp4,niqe,5.6781,False
tourist_1920x1080_60.yuv,enc_res_svt_av1_mv_offline_2k_tourist_50.mp4,niqe,5.7295,False
tourist_1920x1080_60.yuv,enc_res_svt_av1_mv_offline_2k_tourist_58.mp4,niqe,5.82,False
tourist_1920x1080_60.yuv,enc_res_svt_hevc_mv_offline_2k_tourist_27.mp4,niqe,5.2839,False
tourist_1920x1080_60.yuv,enc_res_svt_hevc_mv_offline_2k_tourist_32.mp4,niqe,5.3086,False
tourist_1920x1080_60.yuv,enc_res_svt_hevc_mv_offline_2k_tourist_38.mp4,niqe,5.3429,False
tourist_1920x1080_60.yuv,enc_res_svt_vp9_mv_offline_2k_tourist_47.mp4,niqe,5.2806,False
tourist_1920x1080_60.yuv,enc_res_svt_vp9_mv_offline_2k_tourist_57.mp4,niqe,5.267,False
tourist_1920x1080_60.yuv,enc_res_svt_vp9_mv_offline_2k_tourist_63.mp4,niqe,5.3814,False
tourist_1920x1080_60.yuv,enc_res_x264_mv_offline_2k_tourist_25.mp4,niqe,5.4993,False
tourist_1920x1080_60.yuv,enc_res_x264_mv_offline_2k_tourist_31.mp4,niqe,5.6011,False
tourist_1920x1080_60.yuv,enc_res_x264_mv_offline_2k_tourist_37.mp4,niqe,5.8312,False
tourist_1920x1080_60.yuv,enc_res_x265_mv_offline_2k_tourist_26.mp4,niqe,5.2693,False
tourist_1920x1080_60.yuv,enc_res_x265_mv_offline_2k_tourist_30.mp4,niqe,5.2806,False
tourist_1920x1080_60.yuv,enc_res_x265_mv_offline_2k_tourist_35.mp4,niqe,5.2814,False
tourist_1920x1080_60.yuv,enc_res_kingsoft_v1_mv_offline_2k_v1_tourist_30.mp4,niqe,6.8061,True
tourist_1920x1080_60.yuv,enc_res_kingsoft_v1_mv_offline_2k_v1_tourist_35.mp4,niqe,6.8457,True
tourist_1920x1080_60.yuv,enc_res_kingsoft_v1_mv_offline_2k_v1_tourist_41.mp4,niqe,6.9487,True
tourist_1920x1080_60.yuv,enc_res_kingsoft_v2_mv_offline_2k_tourist_33.mp4,niqe,6.9724,True
tourist_1920x1080_60.yuv,enc_res_kingsoft_v2_mv_offline_2k_tourist_39.mp4,niqe,7.0335,True
tourist_1920x1080_60.yuv,enc_res_kingsoft_v2_mv_offline_2k_tourist_45.mp4,niqe,7.0825,True
tourist_1920x1080_60.yuv,enc_res_kingsoft_v3_mv_offline_2k_tourist_26.mp4,niqe,6.5596,True
tourist_1920x1080_60.yuv,enc_res_kingsoft_v3_mv_offline_2k_tourist_30.mp4,niqe,6.5851,True
tourist_1920x1080_60.yuv,enc_res_kingsoft_v3_mv_offline_2k_tourist_35.mp4,niqe,6.6364,True
tourist_1920x1080_60.yuv,enc_res_svt_av1_mv_offline_2k_tourist_40.mp4,niqe,6.825,True
tourist_1920x1080_60.yuv,enc_res_svt_av1_mv_offline_2k_tourist_50.mp4,niqe,6.848,True
tourist_1920x1080_60.yuv,enc_res_svt_av1_mv_offline_2k_tourist_58.mp4,niqe,6.9338,True
tourist_1920x1080_60.yuv,enc_res_svt_hevc_mv_offline_2k_tourist_27.mp4,niqe,6.4682,True
tourist_1920x1080_60.yuv,enc_res_svt_hevc_mv_offline_2k_tourist_32.mp4,niqe,6.5191,True
tourist_1920x1080_60.yuv,enc_res_svt_hevc_mv_offline_2k_tourist_38.mp4,niqe,6.6062,True
tourist_1920x1080_60.yuv,enc_res_svt_vp9_mv_offline_2k_tourist_47.mp4,niqe,6.4724,True
tourist_1920x1080_60.yuv,enc_res_svt_vp9_mv_offline_2k_tourist_57.mp4,niqe,6.4537,True
tourist_1920x1080_60.yuv,enc_res_svt_vp9_mv_offline_2k_tourist_63.mp4,niqe,6.6198,True
tourist_1920x1080_60.yuv,enc_res_x264_mv_offline_2k_tourist_25.mp4,niqe,6.7556,True
tourist_1920x1080_60.yuv,enc_res_x264_mv_offline_2k_tourist_31.mp4,niqe,6.9261,True
tourist_1920x1080_60.yuv,enc_res_x264_mv_offline_2k_tourist_37.mp4,niqe,7.4313,True
tourist_1920x1080_60.yuv,enc_res_x265_mv_offline_2k_tourist_26.mp4,niqe,6.4643,True
tourist_1920x1080_60.yuv,enc_res_x265_mv_offline_2k_tourist_30.mp4,niqe,6.4719,True
tourist_1920x1080_60.yuv,enc_res_x265_mv_offline_2k_tourist_35.mp4,niqe,6.4937,True
winter_riding_1920x1080_30.yuv,enc_res_kingsoft_v1_mv_offline_2k_v1_winter_riding_42.mp4,niqe,5.2895,False
winter_riding_1920x1080_30.yuv,enc_res_kingsoft_v1_mv_offline_2k_v1_winter_riding_46.mp4,niqe,5.6678,False
winter_riding_1920x1080_30.yuv,enc_res_kingsoft_v1_mv_offline_2k_v1_winter_riding_51.mp4,niqe,5.8031,False
winter_riding_1920x1080_30.yuv,enc_res_kingsoft_v2_mv_offline_2k_winter_riding_44.mp4,niqe,5.5544,False
winter_riding_1920x1080_30.yuv,enc_res_kingsoft_v2_mv_offline_2k_winter_riding_50.mp4,niqe,5.7204,False
winter_riding_1920x1080_30.yuv,enc_res_kingsoft_v2_mv_offline_2k_winter_riding_51.mp4,niqe,5.732,False
winter_riding_1920x1080_30.yuv,enc_res_kingsoft_v3_mv_offline_2k_winter_riding_33.mp4,niqe,4.5389,False
winter_riding_1920x1080_30.yuv,enc_res_kingsoft_v3_mv_offline_2k_winter_riding_37.mp4,niqe,5.0151,False
winter_riding_1920x1080_30.yuv,enc_res_kingsoft_v3_mv_offline_2k_winter_riding_41.mp4,niqe,5.87,False
winter_riding_1920x1080_30.yuv,enc_res_svt_av1_mv_offline_2k_winter_riding_61.mp4,niqe,5.5139,False
winter_riding_1920x1080_30.yuv,enc_res_svt_av1_mv_offline_2k_winter_riding_63.mp4,niqe,5.758,False
winter_riding_1920x1080_30.yuv,enc_res_svt_hevc_mv_offline_2k_winter_riding_38.mp4,niqe,4.597,False
winter_riding_1920x1080_30.yuv,enc_res_svt_hevc_mv_offline_2k_winter_riding_42.mp4,niqe,5.0398,False
winter_riding_1920x1080_30.yuv,enc_res_svt_hevc_mv_offline_2k_winter_riding_46.mp4,niqe,5.7318,False
winter_riding_1920x1080_30.yuv,enc_res_svt_vp9_mv_offline_2k_winter_riding_62.mp4,niqe,5.2879,False
winter_riding_1920x1080_30.yuv,enc_res_svt_vp9_mv_offline_2k_winter_riding_63.mp4,niqe,5.3772,False
winter_riding_1920x1080_30.yuv,enc_res_x264_mv_offline_2k_winter_riding_35.mp4,niqe,5.4969,False
winter_riding_1920x1080_30.yuv,enc_res_x264_mv_offline_2k_winter_riding_40.mp4,niqe,6.3331,False
winter_riding_1920x1080_30.yuv,enc_res_x264_mv_offline_2k_winter_riding_45.mp4,niqe,7.1193,False
winter_riding_1920x1080_30.yuv,enc_res_x265_mv_offline_2k_winter_riding_37.mp4,niqe,4.5314,False
winter_riding_1920x1080_30.yuv,enc_res_x265_mv_offline_2k_winter_riding_41.mp4,niqe,5.1722,False
winter_riding_1920x1080_30.yuv,enc_res_x265_mv_offline_2k_winter_riding_46.mp4,niqe,6.3188,False
winter_riding_1920x1080_30.yuv,enc_res_kingsoft_v1_mv_offline_2k_v1_winter_riding_42.mp4,niqe,6.4048,True
winter_riding_1920x1080_30.yuv,enc_res_kingsoft_v1_mv_offline_2k_v1_winter_riding_46.mp4,niqe,6.8432,True
winter_riding_1920x1080_30.yuv,enc_res_kingsoft_v1_mv_offline_2k_v1_winter_riding_51.mp4,niqe,7.0161,True
winter_riding_1920x1080_30.yuv,enc_res_kingsoft_v2_mv_offline_2k_winter_riding_44.mp4,niqe,6.585,True
winter_riding_1920x1080_30.yuv,enc_res_kingsoft_v2_mv_offline_2k_winter_riding_50.mp4,niqe,6.7522,True
winter_riding_1920x1080_30.yuv,enc_res_kingsoft_v2_mv_offline_2k_winter_riding_51.mp4,niqe,6.7524,True
winter_riding_1920x1080_30.yuv,enc_res_kingsoft_v3_mv_offline_2k_winter_riding_33.mp4,niqe,5.6505,True
winter_riding_1920x1080_30.yuv,enc_res_kingsoft_v3_mv_offline_2k_winter_riding_37.mp4,niqe,6.213,True
winter_riding_1920x1080_30.yuv,enc_res_kingsoft_v3_mv_offline_2k_winter_riding_41.mp4,niqe,7.1561,True
winter_riding_1920x1080_30.yuv,enc_res_svt_av1_mv_offline_2k_winter_riding_61.mp4,niqe,6.6068,True
winter_riding_1920x1080_30.yuv,enc_res_svt_av1_mv_offline_2k_winter_riding_63.mp4,niqe,6.8983,True
winter_riding_1920x1080_30.yuv,enc_res_svt_hevc_mv_offline_2k_winter_riding_38.mp4,niqe,5.9442,True
winter_riding_1920x1080_30.yuv,enc_res_svt_hevc_mv_offline_2k_winter_riding_42.mp4,niqe,6.3925,True
winter_riding_1920x1080_30.yuv,enc_res_svt_hevc_mv_offline_2k_winter_riding_46.mp4,niqe,7.1053,True
winter_riding_1920x1080_30.yuv,enc_res_svt_vp9_mv_offline_2k_winter_riding_62.mp4,niqe,6.4663,True
winter_riding_1920x1080_30.yuv,enc_res_svt_vp9_mv_offline_2k_winter_riding_63.mp4,niqe,6.5335,True
winter_riding_1920x1080_30.yuv,enc_res_x264_mv_offline_2k_winter_riding_35.mp4,niqe,7.1675,True
winter_riding_1920x1080_30.yuv,enc_res_x264_mv_offline_2k_winter_riding_40.mp4,niqe,8.2509,True
winter_riding_1920x1080_30.yuv,enc_res_x264_mv_offline_2k_winter_riding_45.mp4,niqe,9.3899,True
winter_riding_1920x1080_30.yuv,enc_res_x265_mv_offline_2k_winter_riding_37.mp4,niqe,5.8189,True
winter_riding_1920x1080_30.yuv,enc_res_x265_mv_offline_2k_winter_riding_41.mp4,niqe,6.4195,True
winter_riding_1920x1080_30.yuv,enc_res_x265_mv_offline_2k_winter_riding_46.mp4,niqe,7.6233,True
boys_1920x1080_25.yuv,enc_res_kingsoft_v1_mv_offline_2k_v1_boys_33.mp4,niqe,8.8762,False
boys_1920x1080_25.yuv,enc_res_kingsoft_v1_mv_offline_2k_v1_boys_39.mp4,niqe,8.6836,False
boys_1920x1080_25.yuv,enc_res_kingsoft_v1_mv_offline_2k_v1_boys_44.mp4,niqe,8.5533,False
boys_1920x1080_25.yuv,enc_res_kingsoft_v2_mv_offline_2k_boys_32.mp4,niqe,8.4606,False
boys_1920x1080_25.yuv,enc_res_kingsoft_v2_mv_offline_2k_boys_38.mp4,niqe,8.5664,False
boys_1920x1080_25.yuv,enc_res_kingsoft_v2_mv_offline_2k_boys_44.mp4,niqe,8.6443,False
boys_1920x1080_25.yuv,enc_res_kingsoft_v3_mv_offline_2k_boys_29.mp4,niqe,8.963,False
boys_1920x1080_25.yuv,enc_res_kingsoft_v3_mv_offline_2k_boys_34.mp4,niqe,8.6175,False
boys_1920x1080_25.yuv,enc_res_kingsoft_v3_mv_offline_2k_boys_39.mp4,niqe,8.5811,False
boys_1920x1080_25.yuv,enc_res_svt_av1_mv_offline_2k_boys_44.mp4,niqe,8.9757,False
boys_1920x1080_25.yuv,enc_res_svt_av1_mv_offline_2k_boys_54.mp4,niqe,8.7645,False
boys_1920x1080_25.yuv,enc_res_svt_av1_mv_offline_2k_boys_62.mp4,niqe,8.6643,False
boys_1920x1080_25.yuv,enc_res_svt_hevc_mv_offline_2k_boys_31.mp4,niqe,8.6027,False
boys_1920x1080_25.yuv,enc_res_svt_hevc_mv_offline_2k_boys_36.mp4,niqe,8.3354,False
boys_1920x1080_25.yuv,enc_res_svt_hevc_mv_offline_2k_boys_40.mp4,niqe,8.3099,False
boys_1920x1080_25.yuv,enc_res_svt_vp9_mv_offline_2k_boys_53.mp4,niqe,8.0035,False
boys_1920x1080_25.yuv,enc_res_svt_vp9_mv_offline_2k_boys_61.mp4,niqe,7.8788,False
boys_1920x1080_25.yuv,enc_res_svt_vp9_mv_offline_2k_boys_63.mp4,niqe,7.8494,False
boys_1920x1080_25.yuv,enc_res_x264_mv_offline_2k_boys_30.mp4,niqe,8.3076,False
boys_1920x1080_25.yuv,enc_res_x264_mv_offline_2k_boys_35.mp4,niqe,8.5177,False
boys_1920x1080_25.yuv,enc_res_x264_mv_offline_2k_boys_41.mp4,niqe,8.7577,False
boys_1920x1080_25.yuv,enc_res_x265_mv_offline_2k_boys_30.mp4,niqe,9.0068,False
boys_1920x1080_25.yuv,enc_res_x265_mv_offline_2k_boys_35.mp4,niqe,8.5772,False
boys_1920x1080_25.yuv,enc_res_x265_mv_offline_2k_boys_40.mp4,niqe,8.4302,False
boys_1920x1080_25.yuv,enc_res_kingsoft_v1_mv_offline_2k_v1_boys_33.mp4,niqe,9.939,True
boys_1920x1080_25.yuv,enc_res_kingsoft_v1_mv_offline_2k_v1_boys_39.mp4,niqe,10.025,True
boys_1920x1080_25.yuv,enc_res_kingsoft_v1_mv_offline_2k_v1_boys_44.mp4,niqe,10.097,True
