Reference,Distorted,Metric,Metric_val,Mask
blue_hair_1920x1080_30.yuv,enc_res_kingsoft_v1_mv_offline_2k_v1_blue_hair_33.mp4,niqe,8.8103,False
blue_hair_1920x1080_30.yuv,enc_res_kingsoft_v1_mv_offline_2k_v1_blue_hair_38.mp4,niqe,9.2161,False
blue_hair_1920x1080_30.yuv,enc_res_kingsoft_v1_mv_offline_2k_v1_blue_hair_43.mp4,niqe,9.4846,False
blue_hair_1920x1080_30.yuv,enc_res_kingsoft_v2_mv_offline_2k_blue_hair_33.mp4,niqe,9.2575,False
blue_hair_1920x1080_30.yuv,enc_res_kingsoft_v2_mv_offline_2k_blue_hair_39.mp4,niqe,9.3487,False
blue_hair_1920x1080_30.yuv,enc_res_kingsoft_v2_mv_offline_2k_blue_hair_45.mp4,niqe,9.5398,False
blue_hair_1920x1080_30.yuv,enc_res_kingsoft_v3_mv_offline_2k_blue_hair_28.mp4,niqe,8.5187,False
blue_hair_1920x1080_30.yuv,enc_res_kingsoft_v3_mv_offline_2k_blue_hair_33.mp4,niqe,8.702,False
blue_hair_1920x1080_30.yuv,enc_res_kingsoft_v3_mv_offline_2k_blue_hair_38.mp4,niqe,8.9106,False
blue_hair_1920x1080_30.yuv,enc_res_svt_av1_mv_offline_2k_blue_hair_40.mp4,niqe,9.0028,False
blue_hair_1920x1080_30.yuv,enc_res_svt_av1_mv_offline_2k_blue_hair_48.mp4,niqe,9.4328,False
blue_hair_1920x1080_30.yuv,enc_res_svt_av1_mv_offline_2k_blue_hair_58.mp4,niqe,9.7919,False
blue_hair_1920x1080_30.yuv,enc_res_svt_hevc_mv_offline_2k_blue_hair_28.mp4,niqe,8.6129,False
blue_hair_1920x1080_30.yuv,enc_res_svt_hevc_mv_offline_2k_blue_hair_33.mp4,niqe,8.8492,False
blue_hair_1920x1080_30.yuv,enc_res_svt_hevc_mv_offline_2k_blue_hair_38.mp4,niqe,9.1288,False
blue_hair_1920x1080_30.yuv,enc_res_svt_vp9_mv_offline_2k_blue_hair_45.mp4,niqe,8.4344,False
blue_hair_1920x1080_30.yuv,enc_res_svt_vp9_mv_offline_2k_blue_hair_54.mp4,niqe,8.8193,False
blue_hair_1920x1080_30.yuv,enc_res_svt_vp9_mv_offline_2k_blue_hair_62.mp4,niqe,9.0654,False
blue_hair_1920x1080_30.yuv,enc_res_x264_mv_offline_2k_blue_hair_31.mp4,niqe,9.2023,False
blue_hair_1920x1080_30.yuv,enc_res_x264_mv_offline_2k_blue_hair_36.mp4,niqe,9.3146,False
blue_hair_1920x1080_30.yuv,enc_res_x264_mv_offline_2k_blue_hair_44.mp4,niqe,9.3216,False
blue_hair_1920x1080_30.yuv,enc_res_x265_mv_offline_2k_blue_hair_28.mp4,niqe,8.4612,False
blue_hair_1920x1080_30.yuv,enc_res_x265_mv_offline_2k_blue_hair_32.mp4,niqe,8.6826,False
blue_hair_1920x1080_30.yuv,enc_res_x265_mv_offline_2k_blue_hair_37.mp4,niqe,8.948,False
blue_hair_1920x1080_30.yuv,enc_res_kingsoft_v1_mv_offline_2k_v1_blue_hair_33.mp4,niqe,10.877,True
blue_hair_1920x1080_30.yuv,enc_res_kingsoft_v1_mv_offline_2k_v1_blue_hair_38.mp4,niqe,11.116,True
blue_hair_1920x1080_30.yuv,enc_res_kingsoft_v1_mv_offline_2k_v1_blue_hair_43.mp4,niqe,11.283,True
blue_hair_1920x1080_30.yuv,enc_res_kingsoft_v2_mv_offline_2k_blue_hair_33.mp4,niqe,11.144,True
blue_hair_1920x1080_30.yuv,enc_res_kingsoft_v2_mv_offline_2k_blue_hair_39.mp4,niqe,11.162,True
blue_hair_1920x1080_30.yuv,enc_res_kingsoft_v2_mv_offline_2k_blue_hair_45.mp4,niqe,11.265,True
blue_hair_1920x1080_30.yuv,enc_res_kingsoft_v3_mv_offline_2k_blue_hair_28.mp4,niqe,10.583,True
blue_hair_1920x1080_30.yuv,enc_res_kingsoft_v3_mv_offline_2k_blue_hair_33.mp4,niqe,10.704,True
blue_hair_1920x1080_30.yuv,enc_res_kingsoft_v3_mv_offline_2k_blue_hair_38.mp4,niqe,10.888,True
blue_hair_1920x1080_30.yuv,enc_res_svt_av1_mv_offline_2k_blue_hair_40.mp4,niqe,10.999,True
blue_hair_1920x1080_30.yuv,enc_res_svt_av1_mv_offline_2k_blue_hair_48.mp4,niqe,11.266,True
blue_hair_1920x1080_30.yuv,enc_res_svt_av1_mv_offline_2k_blue_hair_58.mp4,niqe,11.515,True
blue_hair_1920x1080_30.yuv,enc_res_svt_hevc_mv_offline_2k_blue_hair_28.mp4,niqe,10.696,True
blue_hair_1920x1080_30.yuv,enc_res_svt_hevc_mv_offline_2k_blue_hair_33.mp4,niqe,10.817,True
blue_hair_1920x1080_30.yuv,enc_res_svt_hevc_mv_offline_2k_blue_hair_38.mp4,niqe,10.969,True
blue_hair_1920x1080_30.yuv,enc_res_svt_vp9_mv_offline_2k_blue_hair_45.mp4,niqe,10.298,True
blue_hair_1920x1080_30.yuv,enc_res_svt_vp9_mv_offline_2k_blue_hair_54.mp4,niqe,10.516,True
blue_hair_1920x1080_30.yuv,enc_res_svt_vp9_mv_offline_2k_blue_hair_62.mp4,niqe,10.667,True
blue_hair_1920x1080_30.yuv,enc_res_x264_mv_offline_2k_blue_hair_31.mp4,niqe,11.009,True
blue_hair_1920x1080_30.yuv,enc_res_x264_mv_offline_2k_blue_hair_36.mp4,niqe,10.982,True
blue_hair_1920x1080_30.yuv,enc_res_x264_mv_offline_2k_blue_hair_44.mp4,niqe,10.734,True
blue_hair_1920x1080_30.yuv,enc_res_x265_mv_offline_2k_blue_hair_28.mp4,niqe,10.528,True
blue_hair_1920x1080_30.yuv,enc_res_x265_mv_offline_2k_blue_hair_32.mp4,niqe,10.648,True
blue_hair_1920x1080_30.yuv,enc_res_x265_mv_offline_2k_blue_hair_37.mp4,niqe,10.846,True
